Text,sentiment_score,sentiment
 Enjoying a beautiful day at the park!              ,0.675,Positive
 Traffic was terrible this morning.                 ,-1.0,Negative
 Just finished an amazing workout! 💪               ,0.6000000000000001,Positive
 Excited about the upcoming weekend getaway!        ,0.375,Positive
 Trying out a new recipe for dinner tonight.        ,0.13636363636363635,Positive
 Feeling grateful for the little things in life.    ,-0.1875,Negative
 Rainy days call for cozy blankets and hot cocoa.   ,0.02500000000000001,Positive
 The new movie release is a must-watch!             ,0.13636363636363635,Positive
 Political discussions heating up on the timeline.  ,0.0,Neutral
 Missing summer vibes and beach days.               ,-0.2,Negative
 Just published a new blog post. Check it out!      ,0.13636363636363635,Positive
 Feeling a bit under the weather today.             ,0.0,Neutral
 Exploring the city's hidden gems.                  ,-0.16666666666666666,Negative
" New year, new fitness goals! 💪                    ",0.13636363636363635,Positive
 Technology is changing the way we live.            ,0.13636363636363635,Positive
 Reflecting on the past and looking ahead.          ,-0.25,Negative
 Just adopted a cute furry friend! 🐾              ,0.5,Positive
 Late-night gaming session with friends.            ,0.0,Neutral
 Attending a virtual conference on AI.              ,0.0,Neutral
 Winter blues got me feeling low.                   ,0.0,Neutral
 Sipping coffee and enjoying a good book.           ,0.6,Positive
 Exploring the world of virtual reality.            ,0.0,Neutral
 Productive day ticking off my to-do list.          ,0.0,Neutral
 Just finished a challenging workout routine.       ,0.5,Positive
 Celebrating a milestone at work! 🎉               ,0.0,Neutral
 Sunday brunch with friends.                        ,0.0,Neutral
 Learning a new language for personal growth.       ,0.06818181818181818,Positive
 Quiet evening with a good book.                    ,0.35,Positive
 Reflecting on the importance of mental health.     ,-0.1,Negative
 New painting in progress! 🎨                       ,0.13636363636363635,Positive
 Weekend road trip to explore scenic views.         ,0.0,Neutral
 Enjoying a cup of tea and watching the sunset.     ,0.5,Positive
 Coding a new project with enthusiasm.              ,0.13636363636363635,Positive
 Feeling inspired after attending a workshop.       ,0.0,Neutral
 Winter sports day at the local park.               ,0.0,Neutral
 Quality time with family this weekend.             ,0.0,Neutral
 Attending a live music concert tonight.            ,0.13636363636363635,Positive
 Practicing mindfulness with meditation.            ,0.0,Neutral
 Trying out a new dessert recipe.                   ,0.13636363636363635,Positive
 Excited about the upcoming gaming tournament.      ,0.375,Positive
 Planning a garden makeover for spring.             ,0.0,Neutral
 Celebrating a friend's birthday tonight! 🎂       ,0.0,Neutral
 Feeling accomplished after a productive day.       ,0.2,Positive
 A cozy evening with a good movie.                 ,0.25,Positive
 Exploring local art galleries this weekend.        ,0.0,Neutral
 New book release from my favorite author!          ,0.3181818181818182,Positive
 Attending a virtual reality meetup.                ,0.0,Neutral
 Reflecting on the beauty of nature.                ,0.0,Neutral
 Cooking a special dinner for loved ones.           ,0.5285714285714286,Positive
 Feeling optimistic about the week ahead.           ,0.0,Neutral
 Starting a new fitness challenge tomorrow! 💪     ,0.06818181818181818,Positive
 Sunday bike ride through scenic trails.           ,0.0,Neutral
 Can't believe the injustice happening in our society.,0.0,Neutral
 Feeling a sense of fear after watching a thriller movie. ,0.0,Neutral
 Heartbroken after hearing the news about a natural disaster. ,0.1,Positive
 The state of the world's environment is just disgusting. ,-1.0,Negative
 Pure happiness: celebrating a loved one's achievement! ,0.5380952380952381,Positive
 Laughter is the best medicine—enjoying a comedy show. ,1.0,Positive
 Sharing love and positive vibes with everyone! ❤️      ,0.36363636363636365,Positive
 An amusing incident brightened up my day!               ,0.6,Positive
 Enjoying a quiet evening with a book and some tea.      ,0.25,Positive
 Admiring the beauty of nature during a peaceful hike.   ,0.25,Positive
 Sending affectionate vibes to all my followers!          ,0.0,Neutral
 Experiencing awe at the breathtaking sunset.            ,1.0,Positive
 Disappointed with the service at a local restaurant.    ,-0.375,Negative
 A surprise gift from a friend made my day!              ,0.0,Neutral
 Finding acceptance in the midst of life's challenges.   ,0.0,Neutral
 Overflowing with adoration for my adorable pet! 🐾      ,0.5,Positive
 Anticipating a thrilling adventure in the coming weeks. ,0.25,Positive
 A bitter experience turned into a valuable lesson.      ,-0.1,Negative
 Finding calmness in the midst of a busy day.            ,0.1,Positive
 Confusion clouds my mind as I navigate through decisions.,0.0,Neutral
 Excitement building up for the upcoming vacation!       ,0.0,Neutral
 Kindness witnessed today restored my faith in humanity. ,0.0,Neutral
 Pride in achieving a personal milestone.               ,0.0,Neutral
 A moment of shame for not standing up against injustice. ,0.0,Neutral
 Fuming with anger after a heated argument.            ,-0.7,Negative
 The fear of the unknown is keeping me up at night.    ,-0.1,Negative
 Heartfelt sadness after bidding farewell to a dear friend. ,0.0,Neutral
 The state of corruption in our society is utterly disgusting. ,-1.0,Negative
 Overflowing happiness: welcoming a new family member!  ,0.41818181818181815,Positive
 Laughter is the key to joy—attending a stand-up comedy show. ,0.0,Neutral
